,Categoria,Feature,Etiqueta,Filtro /Ubicacion,Formato en Filtro,Dato en tarjeta Premium,Dato en tarjeta Destacada,Dato en Landing,Observaciones
,Fabricante,Llave en Mano,Si,Lateral,checklist uno o varios,SI,,,si - no
,Fabricante,Servicios Disponibles,Diseño standard,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Diseño personalizado,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Instalación premontada,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Construcción en terreno,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Instalación,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Kits de autoconstrucción,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Asesoría técnica,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Asesoría legal,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Construcción personalizada,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Logística y transporte,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Servicios Disponibles,Financiamiento,Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Especialidad,Tiny Houses,Lateral,checklist uno o varios,SI,,,
,Fabricante,Especialidad,Casas Modulares Panel Sip,Lateral,checklist uno o varios,SI,,,
,Fabricante,Especialidad,Casas Modulares Container,Lateral,checklist uno o varios,SI,,,
,Fabricante,Especialidad,Casas Modulares Hormigón,Lateral,checklist uno o varios,SI,,,
,Fabricante,Especialidad,Casas Modulares Madera,Lateral,checklist uno o varios,SI,,,
,Fabricante,Especialidad,Casas Prefabricadas Madera,Lateral,checklist uno o varios,SI,,,
,Fabricante,Especialidad,Oficinas Modulares Container,Lateral,checklist uno o varios,SI,,,
,Fabricante,Experiencia,[dato],no,,SI,SI,,años en el mercado
,Fabricante,Nombre de la Empresa,[dato],no,,SI,SI,,
,Fabricante,Ubicación,[dato],no,,SI,,,ubicación matriz y sucursales
,Fabricante,Teléfono ,[dato],no,,SI,SI,,
,Fabricante,Correo Electronico,[dato],no,,SI,SI,,
,Fabricante,Cobertura geográfica para entregas,[region|una o varias| todo chile],Lateral,checklist uno o varios,SI,SI,,
,Fabricante,Precio Referencia Minimo/m2,[dato],Lateral,slider,SI,SI,,rango de precios
,Fabricante,Precio Referencia Máximo/m2,[dato],Lateral,slider,SI,SI,,rango de precios
,Casas,Llave en Mano,Si,Lateral,check,SI,,,si-no
,Casas,Servicios Disponibles,Diseño standard,no,,SI,SI,,
,Casas,Servicios Disponibles,Diseño personalizado,no,,SI,SI,,
,Casas,Servicios Disponibles,Instalación premontada,no,,SI,SI,,
,Casas,Servicios Disponibles,Construcción en terreno,no,,SI,SI,,
,Casas,Servicios Disponibles,Instalación,no,,SI,SI,,
,Casas,Servicios Disponibles,Kits de autoconstrucción,no,,SI,SI,,
,Casas,Servicios Disponibles,Construcción personalizada,no,,SI,SI,,
,Casas,Servicios Disponibles,Logística y transporte,no,,SI,SI,,
,Casas,Servicios Disponibles,Financiamiento,no,,SI,SI,,
,Casas,Ventanas,Termopanel,Lateral,checklist uno o varios,SI,SI,,
,Casas,Ventanas,Marco de PVC,Lateral,checklist uno o varios,SI,SI,,
,Casas,Ventanas,Marco de Aluminio,Lateral,checklist uno o varios,SI,SI,,
,Casas,Ventanas,Marco de Madera,Lateral,checklist uno o varios,SI,SI,,
,Casas,Tecnología de Materiales,Paneles SIP,no,,SI,SI,,
,Casas,Tecnología de Materiales,Estructura Contenedor,no,,SI,SI,,
,Casas,Tecnología de Materiales,Losa Radiante,no,,SI,SI,,
,Casas,Tecnología de Materiales,Losa Hormigon Liviano,no,,SI,SI,,
,Casas,Tecnología de Materiales,Jaula Acero Estructural,no,,SI,SI,,
,Casas,Tecnología de Materiales,Madera,no,,SI,SI,,
,Casas,Tecnología de Materiales,Cartón,no,,SI,SI,,
,Casas,Tecnología de Materiales,Lana,no,,SI,SI,,
,Casas,Tecnología de Materiales,Materiales Ecoamigables,no,,SI,SI,,
,Casas,Tecnología de Materiales,Acero Reciclado,no,,SI,SI,,
,Casas,Tecnología de Materiales,Acero Galvanizado,no,,SI,SI,,
,Casas,Tecnología de Materiales,Paneles de Poliuretano,no,,SI,SI,,
,Casas,Tecnología de Materiales,Zinc,no,,SI,SI,,
,Casas,Tecnología de Materiales,Fibrocemento,no,,SI,SI,,
,Casas,Tecnología de Materiales,OSB,no,,SI,SI,,
,Casas,Tecnología de Materiales,Poliestireno Expandido,no,,SI,SI,,
,Casas,Tecnología de Materiales,Acero|Contenedor Marítimo,no,,SI,SI,,
,Casas,Tecnología de Materiales,Vulcometal,no,,SI,SI,,
,Casas,Tecnología de Materiales,Metalcon,no,,SI,SI,,
,Casas,Tecnología de Materiales,Contenedores Marítimos,no,,SI,SI,,
,Casas,Precio,[precio],Lateral,slider,SI,,,filtro rango
