,,,,,,,
,,,,,,,
,Categoria,Feature,Etiqueta,Filtro /Ubicacion,Formato,Dato en tarjeta Casas | Nivel Premium,Dato en tarjeta Fabricante | Nivel Premium
,,,,,,,
,Decoración y Mejoras,Control Solar,Cortinas y Persianas,,,,
,,,Toldos,,,,
,,,Pérgolas y quinchos,,,,
,,Muebles Modulares / Equipamiento,,,,,
,,Nombre de la Empresa,[nombre empresa],,,,
,,Ubicación,[ubicacion matriz| puede ser mas de una ],Lateral,,,
,,Teléfono ,,,,,
,,Correo Electronico,,,,,
,,Cobertura geográfica para entregas,[region|una o varias| todo chile],,,,
